cap.shape,,cap.surface,cap.color,bruises,odor,gill.attachment,gill.spacing,gill.size,gill.color,stalk.shape,stalk.surface.above.ring,stalk.surface.below.ring,stalk.color.above.ring,stalk.color.below.ring,veil.color,ring.number,ring.type,spore.print.color,population,habitat,class
f,1,f,w,t,l,f,w,n,w,t,s,s,w,w,w,o,p,n,v,d,e
x,1,y,y,t,a,f,c,b,n,e,s,s,w,w,w,o,p,n,s,g,e
x,1,s,n,t,p,f,c,n,p,e,s,s,w,w,w,o,p,n,v,g,p
b,1,s,y,t,l,f,c,b,w,e,s,s,w,w,w,o,p,n,n,g,e
x,1,y,n,t,a,f,c,b,w,e,s,y,w,w,w,o,p,k,y,p,e
f,1,y,n,t,a,f,c,b,w,e,s,y,w,w,w,o,p,k,y,p,e
x,1,s,n,f,n,f,w,b,p,t,f,s,w,w,w,o,e,n,a,g,e
x,1,s,w,t,a,f,w,n,w,t,s,s,w,w,w,o,p,u,v,d,e
b,1,y,y,t,a,f,c,b,k,e,s,s,w,w,w,o,p,n,n,g,e
x,1,y,w,t,a,f,c,b,k,e,s,s,w,w,w,o,p,n,n,g,e
b,1,y,w,t,a,f,c,b,n,e,s,s,w,w,w,o,p,k,s,m,e
x,1,f,n,f,n,f,c,n,k,e,s,s,w,w,w,o,p,n,y,u,e
f,1,y,y,t,l,f,c,b,w,e,s,y,w,w,w,o,p,n,y,p,e
b,1,s,w,t,a,f,c,b,w,e,s,s,w,w,w,o,p,n,s,g,e
b,1,s,w,t,a,f,c,b,w,e,s,s,w,w,w,o,p,k,s,m,e
x,1,f,y,t,l,f,w,n,n,t,s,s,w,w,w,o,p,u,v,d,e
f,1,y,y,t,l,f,c,b,p,e,s,y,w,w,w,o,p,n,s,g,e
b,1,y,w,t,l,f,c,b,w,e,s,s,w,w,w,o,p,k,n,m,e
b,1,y,w,t,a,f,c,b,k,e,s,s,w,w,w,o,p,k,n,m,e
s,1,f,n,f,n,f,c,n,g,e,s,s,w,w,w,o,p,n,y,u,e
f,1,y,n,t,a,f,c,b,p,e,s,y,w,w,w,o,p,k,s,p,e
x,1,y,w,t,p,f,c,n,k,e,s,s,w,w,w,o,p,k,s,g,p
b,1,s,w,t,l,f,c,b,g,e,s,s,w,w,w,o,p,n,s,m,e
f,1,f,g,f,n,f,c,n,p,e,s,s,w,w,w,o,p,k,v,u,e
b,1,y,y,t,l,f,c,b,g,e,s,s,w,w,w,o,p,n,n,g,e
x,1,y,n,t,a,f,c,b,w,e,s,y,w,w,w,o,p,n,y,p,e
f,1,s,y,t,a,f,w,n,w,t,s,s,w,w,w,o,p,n,v,d,e
x,1,s,y,t,a,f,c,b,k,e,s,s,w,w,w,o,p,n,n,m,e
x,1,s,w,t,l,f,c,b,g,e,s,s,w,w,w,o,p,n,n,m,e
x,1,y,w,t,l,f,c,b,n,e,s,s,w,w,w,o,p,n,s,m,e
f,1,s,w,t,a,f,w,n,n,t,s,s,w,w,w,o,p,n,v,d,e
x,1,y,y,t,l,f,c,b,w,e,s,s,w,w,w,o,p,n,s,g,e
b,1,s,w,t,l,f,c,b,w,e,s,s,w,w,w,o,p,k,s,g,e
x,1,s,w,t,a,f,c,b,g,e,s,s,w,w,w,o,p,k,n,g,e
x,1,s,w,t,p,f,c,n,k,e,s,s,w,w,w,o,p,n,v,u,p
b,1,s,w,t,a,f,c,b,k,e,s,s,w,w,w,o,p,k,s,m,e
x,1,s,y,t,a,f,c,b,w,e,s,s,w,w,w,o,p,k,s,g,e
b,1,s,w,t,l,f,c,b,w,e,s,s,w,w,w,o,p,k,n,m,e
x,1,f,y,t,a,f,w,n,n,t,s,s,w,w,w,o,p,n,v,d,e
f,1,y,y,t,a,f,c,b,n,e,s,y,w,w,w,o,p,n,s,g,e
b,1,s,w,t,l,f,c,b,n,e,s,s,w,w,w,o,p,k,n,m,e
x,1,s,y,t,a,f,c,b,g,e,s,s,w,w,w,o,p,k,s,g,e
x,1,y,y,t,a,f,c,b,k,e,s,s,w,w,w,o,p,k,s,g,e
x,1,y,w,t,l,f,c,b,w,e,s,s,w,w,w,o,p,n,s,g,e
x,1,y,y,t,a,f,c,b,n,e,s,y,w,w,w,o,p,n,s,g,e
f,1,f,w,t,a,f,w,n,p,t,s,s,w,w,w,o,p,n,v,d,e
x,1,y,w,t,l,f,c,b,g,e,s,s,w,w,w,o,p,k,n,m,e
b,1,s,y,t,a,f,c,b,n,e,s,s,w,w,w,o,p,n,n,g,e
x,1,f,g,f,n,f,c,n,n,e,s,s,w,w,w,o,p,k,y,u,e
f,1,f,n,f,n,f,c,n,k,e,s,s,w,w,w,o,p,k,v,u,e
x,1,f,w,t,l,f,w,n,w,t,s,s,w,w,w,o,p,n,v,d,e
x,1,y,w,t,l,f,c,b,w,e,s,s,w,w,w,o,p,k,s,g,e
b,1,y,y,t,l,f,c,b,n,e,s,s,w,w,w,o,p,n,s,g,e
x,1,y,y,t,l,f,c,b,n,e,s,y,w,w,w,o,p,k,s,g,e
f,1,y,y,t,a,f,c,b,w,e,s,y,w,w,w,o,p,k,y,p,e
x,1,s,w,t,l,f,c,b,w,e,s,s,w,w,w,o,p,n,s,g,e
f,1,y,y,t,a,f,c,b,w,e,s,y,w,w,w,o,p,n,y,g,e
b,1,s,w,t,l,f,c,b,n,e,s,s,w,w,w,o,p,n,s,g,e
b,1,y,w,t,l,f,c,b,k,e,s,s,w,w,w,o,p,n,n,m,e
b,1,y,w,t,l,f,c,b,g,e,s,s,w,w,w,o,p,k,n,g,e
f,1,y,n,t,l,f,c,b,w,e,s,y,w,w,w,o,p,n,s,g,e
f,1,f,g,f,n,f,c,n,g,e,s,s,w,w,w,o,p,k,v,u,e
x,1,y,y,t,a,f,c,b,g,e,s,s,w,w,w,o,p,n,s,m,e
b,1,s,w,t,a,f,c,b,k,e,s,s,w,w,w,o,p,n,s,m,e
f,1,y,n,t,p,f,c,n,w,e,s,s,w,w,w,o,p,k,s,u,p
x,1,y,w,t,l,f,c,b,k,e,s,s,w,w,w,o,p,n,s,g,e
x,1,y,y,t,a,f,c,b,k,e,s,s,w,w,w,o,p,n,n,m,e
f,1,y,y,t,a,f,c,b,n,e,s,y,w,w,w,o,p,n,s,p,e
x,1,y,w,t,a,f,c,b,w,e,s,s,w,w,w,o,p,n,n,m,e
x,1,y,w,t,p,f,c,n,w,e,s,s,w,w,w,o,p,n,s,g,p
f,1,y,n,t,a,f,c,b,n,e,s,y,w,w,w,o,p,k,s,g,e
b,1,y,y,t,a,f,c,b,g,e,s,s,w,w,w,o,p,k,s,m,e
b,1,y,w,t,a,f,c,b,g,e,s,s,w,w,w,o,p,k,s,g,e
x,1,y,n,t,l,f,c,b,n,e,s,y,w,w,w,o,p,n,y,p,e
f,1,f,g,f,n,f,c,n,p,e,s,s,w,w,w,o,p,n,y,u,e
x,1,f,g,f,n,f,c,n,g,e,s,s,w,w,w,o,p,k,y,u,e
b,1,y,w,t,l,f,c,b,k,e,s,s,w,w,w,o,p,n,s,g,e
x,1,f,g,f,n,f,w,b,p,t,f,f,w,w,w,o,e,k,s,g,e
x,1,y,w,t,p,f,c,n,p,e,s,s,w,w,w,o,p,k,s,g,p
x,1,f,w,f,n,f,w,b,k,t,f,s,w,w,w,o,e,k,a,g,e
x,1,f,n,t,n,f,c,b,p,t,s,s,g,p,w,o,p,n,y,d,e
x,1,s,y,t,l,f,c,b,g,e,s,s,w,w,w,o,p,n,n,m,e
f,1,y,n,t,a,f,c,b,p,e,s,y,w,w,w,o,p,k,y,g,e
x,1,f,w,f,n,f,w,b,n,t,s,s,w,w,w,o,e,n,s,g,e
x,1,s,y,t,l,f,c,b,w,e,s,s,w,w,w,o,p,k,s,g,e
x,1,y,w,t,p,f,c,n,n,e,s,s,w,w,w,o,p,n,v,g,p
x,1,y,y,t,l,f,c,b,n,e,s,s,w,w,w,o,p,k,s,g,e
x,1,f,w,t,a,f,w,n,p,t,s,s,w,w,w,o,p,n,v,d,e
x,1,y,w,t,p,f,c,n,k,e,s,s,w,w,w,o,p,k,v,u,p
x,1,f,w,t,l,f,w,n,n,t,s,s,w,w,w,o,p,n,v,d,e
x,1,y,y,t,l,f,c,b,k,e,s,s,w,w,w,o,p,n,s,m,e
f,1,f,y,t,a,f,w,n,w,t,s,s,w,w,w,o,p,u,v,d,e
b,1,y,y,t,a,f,c,b,n,e,s,s,w,w,w,o,p,k,s,m,e
x,1,y,n,t,p,f,c,n,n,e,s,s,w,w,w,o,p,n,v,u,p
b,1,s,y,t,l,f,c,b,w,e,s,s,w,w,w,o,p,k,n,g,e
b,1,y,w,t,a,f,c,b,g,e,s,s,w,w,w,o,p,k,n,g,e
x,1,y,n,t,p,f,c,n,w,e,s,s,w,w,w,o,p,k,v,u,p
b,1,y,y,t,l,f,c,b,w,e,s,s,w,w,w,o,p,n,n,m,e
x,1,y,w,t,l,f,c,b,g,e,s,s,w,w,w,o,p,n,n,g,e
x,1,f,n,t,n,f,c,b,p,t,s,s,p,w,w,o,p,k,y,d,e
x,1,y,n,t,a,f,c,b,w,e,s,y,w,w,w,o,p,k,y,g,e
x,1,f,g,f,n,f,c,n,g,e,s,s,w,w,w,o,p,n,v,u,e
x,1,y,n,t,l,f,c,b,n,e,s,y,w,w,w,o,p,k,y,g,e
x,1,s,w,t,a,f,c,b,k,e,s,s,w,w,w,o,p,n,s,g,e
b,1,y,y,t,l,f,c,b,g,e,s,s,w,w,w,o,p,n,s,g,e
x,1,f,n,f,n,f,c,n,g,e,s,s,w,w,w,o,p,n,y,u,e
x,1,y,y,t,l,f,c,b,w,e,s,y,w,w,w,o,p,k,s,p,e
s,1,f,g,f,n,f,c,n,g,e,s,s,w,w,w,o,p,n,v,u,e
f,1,y,n,t,a,f,c,b,p,e,s,y,w,w,w,o,p,n,y,p,e
x,1,y,n,t,p,f,c,n,k,e,s,s,w,w,w,o,p,k,s,u,p
x,1,y,y,t,a,f,c,b,w,e,s,s,w,w,w,o,p,n,s,g,e
x,1,s,y,t,a,f,c,b,w,e,s,s,w,w,w,o,p,k,n,g,e
x,1,y,y,t,a,f,c,b,w,e,s,y,w,w,w,o,p,n,s,p,e
x,1,f,g,f,n,f,w,b,n,t,s,s,w,w,w,o,e,k,s,g,e
f,1,y,n,t,l,f,c,b,n,e,s,y,w,w,w,o,p,k,y,g,e
x,1,s,w,t,a,f,c,b,k,e,s,s,w,w,w,o,p,k,s,m,e
b,1,s,w,t,l,f,c,b,n,e,s,s,w,w,w,o,p,k,n,g,e
b,1,y,y,t,a,f,c,b,k,e,s,s,w,w,w,o,p,n,s,g,e
x,1,y,n,t,p,f,c,n,p,e,s,s,w,w,w,o,p,k,s,u,p
x,1,y,w,t,a,f,c,b,w,e,s,s,w,w,w,o,p,k,s,m,e
b,1,s,w,t,a,f,c,b,g,e,s,s,w,w,w,o,p,n,n,g,e
x,1,f,n,t,n,f,c,b,n,t,s,s,g,w,w,o,p,n,y,d,e
x,1,s,n,t,p,f,c,n,w,e,s,s,w,w,w,o,p,n,s,u,p
x,1,y,n,t,l,f,c,b,w,e,s,y,w,w,w,o,p,k,y,p,e
b,1,y,y,t,l,f,c,b,n,e,s,s,w,w,w,o,p,k,n,m,e
b,1,s,y,t,a,f,c,b,n,e,s,s,w,w,w,o,p,n,s,m,e
x,1,s,y,t,l,f,c,b,g,e,s,s,w,w,w,o,p,k,n,m,e
x,1,f,g,f,n,f,c,n,k,e,s,s,w,w,w,o,p,n,v,u,e
f,1,y,n,t,a,f,c,b,w,e,s,y,w,w,w,o,p,k,s,g,e
x,1,s,w,t,l,f,c,b,k,e,s,s,w,w,w,o,p,n,n,m,e
x,1,y,y,t,l,f,c,b,w,e,s,s,w,w,w,o,p,n,s,m,e
x,1,s,n,t,p,f,c,n,p,e,s,s,w,w,w,o,p,n,s,u,p
b,1,y,w,t,l,f,c,b,w,e,s,s,w,w,w,o,p,n,n,g,e
b,1,y,w,t,a,f,c,b,n,e,s,s,w,w,w,o,p,k,n,m,e
x,1,s,w,t,l,f,c,b,k,e,s,s,w,w,w,o,p,n,s,m,e
x,1,s,w,t,a,f,c,b,g,e,s,s,w,w,w,o,p,n,s,m,e
x,1,s,w,t,a,f,c,b,g,e,s,s,w,w,w,o,p,k,s,g,e
x,1,y,n,t,l,f,c,b,w,e,s,y,w,w,w,o,p,n,y,p,e
x,1,s,w,t,a,f,c,b,w,e,s,s,w,w,w,o,p,n,s,m,e
x,1,y,n,t,l,f,c,b,n,e,s,y,w,w,w,o,p,n,s,p,e
x,1,y,y,t,l,f,c,b,n,e,s,y,w,w,w,o,p,k,y,g,e
x,1,y,n,t,p,f,c,n,k,e,s,s,w,w,w,o,p,k,v,g,p
b,1,y,y,t,a,f,c,b,w,e,s,s,w,w,w,o,p,n,n,g,e
x,1,s,n,t,p,f,c,n,w,e,s,s,w,w,w,o,p,k,s,u,p
x,1,y,y,t,l,f,c,b,k,e,s,s,w,w,w,o,p,k,n,g,e
x,1,s,w,t,a,f,w,n,n,t,s,s,w,w,w,o,p,n,v,d,e
b,1,s,w,t,a,f,c,b,k,e,s,s,w,w,w,o,p,n,n,m,e
x,1,y,w,t,a,f,c,b,g,e,s,s,w,w,w,o,p,n,s,g,e
b,1,s,y,t,l,f,c,b,g,e,s,s,w,w,w,o,p,n,s,g,e
b,1,s,y,t,l,f,c,b,w,e,s,s,w,w,w,o,p,k,s,g,e
x,1,y,w,t,l,f,c,b,n,e,s,s,w,w,w,o,p,k,s,m,e
x,1,y,w,t,l,f,c,b,n,e,s,s,w,w,w,o,p,k,n,m,e
x,1,s,y,t,l,f,c,b,w,e,s,s,w,w,w,o,p,k,n,m,e
x,1,y,n,t,l,f,c,b,p,e,s,y,w,w,w,o,p,k,s,g,e
f,1,y,n,t,l,f,c,b,n,e,s,y,w,w,w,o,p,k,s,g,e
b,1,s,w,t,l,f,c,b,w,e,s,s,w,w,w,o,p,k,s,m,e
x,1,f,n,t,n,f,c,b,n,t,s,s,g,p,w,o,p,n,y,d,e
x,1,y,w,t,l,f,c,b,k,e,s,s,w,w,w,o,p,n,s,m,e
x,1,f,y,t,l,f,w,n,p,t,s,s,w,w,w,o,p,n,v,d,e
b,1,s,w,t,l,f,c,b,g,e,s,s,w,w,w,o,p,n,n,m,e
x,0.5,s,g,f,n,f,w,b,h,t,s,f,w,w,w,o,e,k,a,g,e
f,0.5,y,n,t,a,f,c,b,w,e,s,y,w,w,w,o,p,n,y,p,e
x,0.5,s,w,t,a,f,c,b,k,e,s,s,w,w,w,o,p,n,s,m,e
b,0.5,s,w,t,a,f,c,b,g,e,s,s,w,w,w,o,p,k,s,g,e
x,0.5,f,n,f,n,f,c,n,k,e,s,s,w,w,w,o,p,k,v,u,e
f,0.5,y,n,t,a,f,c,b,p,e,s,y,w,w,w,o,p,n,y,g,e
x,0.5,s,y,t,l,f,c,b,g,e,s,s,w,w,w,o,p,k,n,g,e
f,0.5,y,y,t,a,f,c,b,w,e,s,y,w,w,w,o,p,n,s,p,e
x,0.5,y,y,t,l,f,c,b,g,e,s,s,w,w,w,o,p,k,n,g,e
s,0.5,f,g,f,n,f,c,n,k,e,s,s,w,w,w,o,p,k,y,u,e
f,0.5,s,y,t,l,f,w,n,n,t,s,s,w,w,w,o,p,n,v,d,e
f,0.5,f,g,f,n,f,c,n,k,e,s,s,w,w,w,o,p,k,y,u,e
b,0.5,y,w,t,a,f,c,b,w,e,s,s,w,w,w,o,p,n,n,g,e
x,0.5,s,w,t,a,f,w,n,p,t,s,s,w,w,w,o,p,n,v,d,e
f,0.5,s,w,t,l,f,w,n,p,t,s,s,w,w,w,o,p,u,v,d,e
f,0.5,f,g,f,n,f,c,n,g,e,s,s,w,w,w,o,p,k,y,u,e
f,0.5,s,w,t,a,f,w,n,w,t,s,s,w,w,w,o,p,n,v,d,e
f,0.5,y,y,t,a,f,c,b,p,e,s,y,w,w,w,o,p,k,y,g,e
x,0.5,y,n,t,l,f,c,b,n,e,s,y,w,w,w,o,p,k,s,p,e
x,0.5,y,n,t,a,f,c,b,n,e,s,y,w,w,w,o,p,k,s,p,e
f,0.5,f,y,t,a,f,w,n,n,t,s,s,w,w,w,o,p,u,v,d,e
f,0.5,s,n,t,p,f,c,n,p,e,s,s,w,w,w,o,p,n,s,g,p
x,0.5,s,n,t,p,f,c,n,k,e,s,s,w,w,w,o,p,n,v,u,p
f,0.5,y,n,t,l,f,c,b,w,e,s,y,w,w,w,o,p,n,s,p,e
x,0.5,y,y,t,a,f,c,b,w,e,s,y,w,w,w,o,p,k,s,g,e
b,0.5,s,y,t,a,f,c,b,k,e,s,s,w,w,w,o,p,n,n,m,e
f,0.5,f,w,f,n,f,w,b,h,t,f,s,w,w,w,o,e,n,a,g,e
b,0.5,y,y,t,a,f,c,b,g,e,s,s,w,w,w,o,p,k,n,g,e
b,0.5,s,y,t,a,f,c,b,w,e,s,s,w,w,w,o,p,k,s,m,e
x,0.5,s,n,t,p,f,c,n,n,e,s,s,w,w,w,o,p,n,v,g,p
x,0.5,s,g,f,n,f,w,b,p,t,s,s,w,w,w,o,e,n,s,g,e
b,0.5,s,y,t,a,f,c,b,k,e,s,s,w,w,w,o,p,k,n,g,e
x,0.5,y,y,t,a,f,c,b,k,e,s,s,w,w,w,o,p,n,n,g,e
b,0.5,s,w,t,l,f,c,b,n,e,s,s,w,w,w,o,p,k,s,g,e
f,0.5,f,g,f,n,f,c,n,n,e,s,s,w,w,w,o,p,k,y,u,e
f,0.5,y,n,t,a,f,c,b,w,e,s,y,w,w,w,o,p,n,s,p,e
f,0.5,y,y,t,a,f,c,b,w,e,s,y,w,w,w,o,p,n,y,p,e
x,0.5,y,n,t,a,f,c,b,n,e,s,y,w,w,w,o,p,n,y,p,e
f,0.5,s,n,t,p,f,c,n,k,e,s,s,w,w,w,o,p,k,s,g,p
f,0.5,s,w,t,a,f,w,n,p,t,s,s,w,w,w,o,p,u,v,d,e
x,0.5,y,w,t,p,f,c,n,n,e,s,s,w,w,w,o,p,n,s,g,p
x,0.5,y,y,t,a,f,c,b,p,e,s,y,w,w,w,o,p,k,s,g,e
f,0.5,f,g,f,n,f,c,n,g,e,s,s,w,w,w,o,p,n,v,u,e
x,0.5,f,y,t,l,f,w,n,p,t,s,s,w,w,w,o,p,u,v,d,e
x,0.5,s,y,t,a,f,c,b,g,e,s,s,w,w,w,o,p,n,n,m,e
x,0.5,f,g,f,n,f,w,b,h,t,f,s,w,w,w,o,e,n,s,g,e
x,0.5,s,y,t,l,f,c,b,k,e,s,s,w,w,w,o,p,k,s,g,e
x,0.5,y,y,t,a,f,c,b,g,e,s,s,w,w,w,o,p,n,n,m,e
b,0.5,s,y,t,a,f,c,b,g,e,s,s,w,w,w,o,p,n,s,g,e
x,0.5,s,y,t,a,f,w,n,w,t,s,s,w,w,w,o,p,u,v,d,e
x,0.5,s,y,t,a,f,w,n,n,t,s,s,w,w,w,o,p,u,v,d,e
b,0.5,s,w,t,a,f,c,b,w,e,s,s,w,w,w,o,p,n,s,m,e
x,0.5,s,n,t,p,f,c,n,n,e,s,s,w,w,w,o,p,n,s,g,p
b,0.5,y,w,t,l,f,c,b,w,e,s,s,w,w,w,o,p,k,n,g,e
x,0.5,y,n,t,a,f,c,b,w,e,s,y,w,w,w,o,p,n,y,g,e
x,0.5,f,n,f,n,f,c,n,p,e,s,s,w,w,w,o,p,n,v,u,e
x,0.5,y,y,t,l,f,c,b,w,e,s,y,w,w,w,o,p,n,y,g,e
x,0.5,s,w,t,a,f,c,b,g,e,s,s,w,w,w,o,p,n,n,m,e
x,0.5,y,y,t,a,f,c,b,n,e,s,y,w,w,w,o,p,n,y,g,e
f,0.5,y,y,t,a,f,c,b,w,e,s,y,w,w,w,o,p,k,s,g,e
x,0.5,y,w,t,a,f,c,b,k,e,s,s,w,w,w,o,p,n,s,m,e
s,0.5,f,g,f,n,f,c,n,g,e,s,s,w,w,w,o,p,k,v,u,e
f,0.5,f,n,f,n,f,c,n,n,e,s,s,w,w,w,o,p,k,y,u,e
x,0.5,y,y,t,l,f,c,b,g,e,s,s,w,w,w,o,p,k,s,g,e
x,0.5,s,n,t,p,f,c,n,p,e,s,s,w,w,w,o,p,k,v,u,p
x,0.5,y,n,t,l,f,c,b,w,e,s,y,w,w,w,o,p,n,y,g,e
f,0.5,y,n,t,l,f,c,b,n,e,s,y,w,w,w,o,p,n,s,p,e
x,0.5,s,g,f,n,f,w,b,n,t,s,f,w,w,w,o,e,n,s,g,e
f,0.5,y,n,t,a,f,c,b,n,e,s,y,w,w,w,o,p,k,y,g,e
f,0.5,f,g,f,n,f,c,n,n,e,s,s,w,w,w,o,p,k,v,u,e
f,0.5,s,n,f,n,f,w,b,h,t,f,s,w,w,w,o,e,n,a,g,e
x,0.5,f,g,f,n,f,w,b,n,t,s,f,w,w,w,o,e,n,s,g,e
f,0.5,s,w,f,n,f,w,b,p,t,s,f,w,w,w,o,e,k,a,g,e
b,0.5,y,w,t,l,f,c,b,g,e,s,s,w,w,w,o,p,k,s,g,e
b,0.5,s,w,t,l,f,c,b,w,e,s,s,w,w,w,o,p,n,n,g,e
f,0.5,f,g,f,n,f,c,n,p,e,s,s,w,w,w,o,p,k,y,u,e
x,0.5,s,w,t,l,f,c,b,g,e,s,s,w,w,w,o,p,k,s,m,e
s,0.5,f,g,f,n,f,c,n,p,e,s,s,w,w,w,o,p,k,y,u,e
b,0.5,s,w,t,a,f,c,b,k,e,s,s,w,w,w,o,p,k,n,g,e
x,0.5,y,n,t,a,f,c,b,p,e,s,y,w,w,w,o,p,n,s,g,e
x,0.5,y,y,t,l,f,c,b,n,e,s,s,w,w,w,o,p,k,n,m,e
b,0.5,y,y,t,l,f,c,b,w,e,s,s,w,w,w,o,p,k,n,m,e
x,0.5,y,n,t,a,f,c,b,n,e,s,y,w,w,w,o,p,n,y,g,e
f,0.5,y,n,t,a,f,c,b,w,e,s,y,w,w,w,o,p,k,y,g,e
b,0.5,y,w,t,a,f,c,b,g,e,s,s,w,w,w,o,p,k,s,m,e
